,pref_voter_id,year,race,first_report_seen,vote_rank,candidate
0,2,2019,BOS,1,[1],['DEAN PRESTON']
1,7,2019,BOS,1,[1],['DEAN PRESTON']
2,10,2019,BOS,1,"[1, 2, 3, 4]","['VALLIE BROWN', 'RYAN LAM', 'DEAN PRESTON', ""NOMVULA O'MEARA""]"
3,18,2019,BOS,1,[1],['DEAN PRESTON']
4,22,2019,BOS,1,[1],['VALLIE BROWN']
5,23,2019,BOS,1,[1],['DEAN PRESTON']
6,25,2019,BOS,1,"[1, 2]","['VALLIE BROWN', 'RYAN LAM']"
7,31,2019,BOS,1,"[1, 2]","['DEAN PRESTON', 'VALLIE BROWN']"
8,59,2019,BOS,1,"[1, 2, 3, 4]","['VALLIE BROWN', ""NOMVULA O'MEARA"", 'RYAN LAM', 'DEAN PRESTON']"
9,84,2019,BOS,1,[1],['DEAN PRESTON']
10,87,2019,BOS,1,"[1, 2]","['RYAN LAM', 'DEAN PRESTON']"
11,95,2019,BOS,1,"[1, 2, 3, 4]","['VALLIE BROWN', 'DEAN PRESTON', 'RYAN LAM', ""NOMVULA O'MEARA""]"
12,115,2019,BOS,1,"[1, 2, 3]","['DEAN PRESTON', 'RYAN LAM', ""NOMVULA O'MEARA""]"
13,119,2019,BOS,1,"[1, 2, 3, 4]","['DEAN PRESTON', 'RYAN LAM', ""NOMVULA O'MEARA"", 'VALLIE BROWN']"
14,134,2019,BOS,1,[1],['VALLIE BROWN']
15,137,2019,BOS,1,"[1, 2, 3, 4]","['VALLIE BROWN', 'DEAN PRESTON', ""NOMVULA O'MEARA"", 'RYAN LAM']"
16,147,2019,BOS,1,"[1, 2, 3, 4]","['DEAN PRESTON', 'RYAN LAM', 'VALLIE BROWN', ""NOMVULA O'MEARA""]"
17,152,2019,BOS,1,"[1, 2]","['DEAN PRESTON', 'VALLIE BROWN']"
18,164,2019,BOS,1,[1],['DEAN PRESTON']
19,166,2019,BOS,1,[1],['DEAN PRESTON']
20,167,2019,BOS,1,[1],['VALLIE BROWN']
21,186,2019,BOS,1,[1],['VALLIE BROWN']
22,190,2019,BOS,1,"[1, 2, 3, 4]","[""NOMVULA O'MEARA"", 'RYAN LAM', 'VALLIE BROWN', 'DEAN PRESTON']"
23,193,2019,BOS,1,"[1, 2, 3, 4]","['DEAN PRESTON', 'VALLIE BROWN', 'RYAN LAM', ""NOMVULA O'MEARA""]"
24,200,2019,BOS,1,[1],['VALLIE BROWN']
25,265,2019,BOS,1,[1],['VALLIE BROWN']
26,266,2019,BOS,1,"[1, 2]","['VALLIE BROWN', 'DEAN PRESTON']"
27,267,2019,BOS,1,"[1, 2, 3, 4]","['VALLIE BROWN', 'DEAN PRESTON', ""NOMVULA O'MEARA"", 'RYAN LAM']"
28,280,2019,BOS,1,"[1, 2, 3, 4]","['VALLIE BROWN', 'RYAN LAM', 'DEAN PRESTON', ""NOMVULA O'MEARA""]"
29,415,2019,BOS,1,[1],['VALLIE BROWN']
30,439,2019,BOS,1,[1],['VALLIE BROWN']
31,451,2019,BOS,1,[1],['DEAN PRESTON']
32,457,2019,BOS,1,"[1, 2]","['DEAN PRESTON', 'VALLIE BROWN']"
33,468,2019,BOS,1,"[1, 2, 3]","['DEAN PRESTON', 'RYAN LAM', ""NOMVULA O'MEARA""]"
34,494,2019,BOS,1,"[1, 2, 3, 4]","['VALLIE BROWN', 'DEAN PRESTON', 'RYAN LAM', ""NOMVULA O'MEARA""]"
35,507,2019,BOS,1,"[1, 2, 3, 4]","['VALLIE BROWN', 'DEAN PRESTON', ""NOMVULA O'MEARA"", 'RYAN LAM']"
36,517,2019,BOS,1,[1],['VALLIE BROWN']
37,525,2019,BOS,1,[1],['VALLIE BROWN']
38,634,2019,BOS,1,"[1, 2]","['DEAN PRESTON', 'VALLIE BROWN']"
39,647,2019,BOS,1,"[1, 2, 3, 4]","['DEAN PRESTON', 'VALLIE BROWN', 'RYAN LAM', ""NOMVULA O'MEARA""]"
40,649,2019,BOS,1,"[1, 2, 3, 4]","['VALLIE BROWN', 'RYAN LAM', 'DEAN PRESTON', ""NOMVULA O'MEARA""]"
41,651,2019,BOS,1,[1],['DEAN PRESTON']
42,691,2019,BOS,1,"[1, 2]","['VALLIE BROWN', 'DEAN PRESTON']"
43,731,2019,BOS,1,"[1, 2]","['DEAN PRESTON', 'VALLIE BROWN']"
44,737,2019,BOS,1,[1],['VALLIE BROWN']
45,743,2019,BOS,1,[1],['DEAN PRESTON']
46,762,2019,BOS,1,[1],['VALLIE BROWN']
47,857,2019,BOS,1,"[1, 2, 3, 4]","['VALLIE BROWN', ""NOMVULA O'MEARA"", 'DEAN PRESTON', 'RYAN LAM']"
48,881,2019,BOS,1,[1],['DEAN PRESTON']
49,958,2019,BOS,1,"[1, 2, 3, 4]","['VALLIE BROWN', 'DEAN PRESTON', 'RYAN LAM', ""NOMVULA O'MEARA""]"
50,999,2019,BOS,1,[1],['DEAN PRESTON']
51,1009,2019,BOS,1,"[1, 2, 3, 4]","['RYAN LAM', 'DEAN PRESTON', 'VALLIE BROWN', ""NOMVULA O'MEARA""]"
52,1041,2019,BOS,1,"[1, 2]","['VALLIE BROWN', 'DEAN PRESTON']"
53,1052,2019,BOS,1,"[1, 2]","['VALLIE BROWN', 'DEAN PRESTON']"
54,1083,2019,BOS,1,"[1, 2, 3, 4]","['VALLIE BROWN', 'RYAN LAM', 'DEAN PRESTON', ""NOMVULA O'MEARA""]"
55,1092,2019,BOS,1,"[1, 2, 3, 4]","['DEAN PRESTON', 'VALLIE BROWN', 'RYAN LAM', ""NOMVULA O'MEARA""]"
56,1099,2019,BOS,1,"[1, 2, 3, 4]","['DEAN PRESTON', 'VALLIE BROWN', 'RYAN LAM', ""NOMVULA O'MEARA""]"
57,1120,2019,BOS,1,"[1, 2, 3, 4]","['VALLIE BROWN', 'RYAN LAM', ""NOMVULA O'MEARA"", 'DEAN PRESTON']"
58,1146,2019,BOS,1,[1],['VALLIE BROWN']
59,1156,2019,BOS,1,"[1, 2]","['DEAN PRESTON', 'VALLIE BROWN']"
60,1162,2019,BOS,1,"[1, 2]","['VALLIE BROWN', 'DEAN PRESTON']"
61,1168,2019,BOS,1,"[1, 2]","['RYAN LAM', 'DEAN PRESTON']"
62,1180,2019,BOS,1,"[1, 2, 3, 4]","['VALLIE BROWN', 'DEAN PRESTON', 'RYAN LAM', ""NOMVULA O'MEARA""]"
63,1182,2019,BOS,1,[1],['DEAN PRESTON']
64,1184,2019,BOS,1,[1],['DEAN PRESTON']
65,1186,2019,BOS,1,[1],['DEAN PRESTON']
66,1188,2019,BOS,1,"[1, 2]","['VALLIE BROWN', 'RYAN LAM']"
67,1196,2019,BOS,1,"[1, 2, 3, 4]","['VALLIE BROWN', 'DEAN PRESTON', 'RYAN LAM', ""NOMVULA O'MEARA""]"
68,1266,2019,BOS,1,"[1, 2]","['VALLIE BROWN', 'DEAN PRESTON']"
69,1334,2019,BOS,1,[1],['VALLIE BROWN']
70,1352,2019,BOS,1,"[1, 2, 3, 4]","['DEAN PRESTON', 'RYAN LAM', 'VALLIE BROWN', ""NOMVULA O'MEARA""]"
71,1354,2019,BOS,1,"[1, 2]","['VALLIE BROWN', 'DEAN PRESTON']"
72,1355,2019,BOS,1,[1],['DEAN PRESTON']
73,1357,2019,BOS,1,[1],['VALLIE BROWN']
74,1361,2019,BOS,1,"[1, 2, 3, 4]","['RYAN LAM', 'DEAN PRESTON', ""NOMVULA O'MEARA"", 'VALLIE BROWN']"
75,1432,2019,BOS,1,"[1, 2, 3, 4]","['DEAN PRESTON', 'VALLIE BROWN', 'RYAN LAM', ""NOMVULA O'MEARA""]"
76,1449,2019,BOS,1,"[1, 2]","['VALLIE BROWN', 'DEAN PRESTON']"
77,1453,2019,BOS,1,"[1, 2, 3, 4]","['DEAN PRESTON', 'RYAN LAM', ""NOMVULA O'MEARA"", 'VALLIE BROWN']"
78,1462,2019,BOS,1,[1],['VALLIE BROWN']
79,1463,2019,BOS,1,"[1, 2, 3, 4]","['RYAN LAM', 'VALLIE BROWN', ""NOMVULA O'MEARA"", 'DEAN PRESTON']"
80,1466,2019,BOS,1,"[1, 2]","['DEAN PRESTON', 'VALLIE BROWN']"
