,pref_voter_id,year,race,first_report_seen,vote_rank,candidate
10593,104755,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE"", 'RAFAEL MANDELMAN']"
10594,104756,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10595,104757,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10596,104758,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10597,104759,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10598,104760,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10599,104761,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10600,104762,2018,BOS,4,"[1, 2]","['JEFF SHEEHY', 'RAFAEL MANDELMAN']"
10601,104763,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE"", 'JEFF SHEEHY']"
10602,104764,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10603,104765,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10604,104766,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10605,104767,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10606,104768,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10607,104769,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10608,104770,2018,BOS,4,"[1, 2]","['JEFF SHEEHY', 'RAFAEL MANDELMAN']"
10609,104771,2018,BOS,4,[1],['JEFF SHEEHY']
10610,104772,2018,BOS,4,[1],['JEFF SHEEHY']
10611,104773,2018,BOS,4,"[1, 2]","['JEFF SHEEHY', 'RAFAEL MANDELMAN']"
10612,104774,2018,BOS,4,[1],['JEFF SHEEHY']
10613,104775,2018,BOS,4,[1],['JEFF SHEEHY']
10614,104776,2018,BOS,4,[1],['JEFF SHEEHY']
10615,104777,2018,BOS,4,"[1, 2]","['JEFF SHEEHY', 'RAFAEL MANDELMAN']"
10616,104778,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE"", 'RAFAEL MANDELMAN']"
10617,104779,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE"", 'RAFAEL MANDELMAN']"
